embedder,lora,verbalization_A,template_B,B_lever,dataset,subclass_R20,superclass_R20,pooled_R20,subclass_R10,superclass_R10
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,g5-groceries,0.9286,0.5752,0.4423,0.7857,0.4602
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,g7-literature,0.8889,0.9808,0.7683,0.8333,0.75
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,mouse-human,0.8789,0.4314,0.3121,0.7817,0.3448
qwen3-embedding-8b,on,turtle,T1,default,g1-web,0.931,0.9231,0.1424,0.8966,0.8846
qwen3-embedding-8b,on,turtle,T1,default,g2-diseases,0.3333,0.9091,0.0395,0.2593,0.8182
qwen3-embedding-8b,on,turtle,T1,default,g3-text,0.9106,0.4869,0.6076,0.8212,0.3408
qwen3-embedding-8b,on,turtle,T1,default,g5-groceries,0.7143,0.6195,0.4423,0.3571,0.4779
qwen3-embedding-8b,on,turtle,T1,default,g7-literature,0.7778,0.8654,0.5244,0.6111,0.5962
qwen3-embedding-8b,on,turtle,T1,default,mouse-human,0.7413,0.5703,0.3442,0.6257,0.4412
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,g1-web,0.931,0.8846,0.1394,0.8966,0.8846
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,g2-diseases,0.5185,0.8182,0.0537,0.3704,0.8182
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,g3-text,0.8988,0.5094,0.626,0.8024,0.367
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,g5-groceries,0.6429,0.646,0.4295,0.2857,0.4867
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,g7-literature,0.9444,0.9615,0.622,0.8333,0.7308
qwen3-embedding-8b,on,turtle,T2,sub_b_pin,mouse-human,0.8514,0.5408,0.3502,0.7596,0.4003
